sifra_predmeta,naziv_predmeta,naziv_programa,strokovni_naziv,stopnja,klasius_srv,klasius_p16,veljavnost_zac,veljavnost_kon,ects,ure_pred,ure_epred,ure_vaj,ure_evaj,ure_labvaj,ind_z_prof,sam_delo,vrsta_predmeta,id_predmeta,letnik,obv_izb,semester
5102,ANGLEŠKI POSLOVNI JEZIK,Organizacija in management informacijskih sistemov (VS)  //ver: 23,diplomirani organizator informatik (VS),VS,16203,0488,2023-10-01T00:00:00Z,,5.0,21.0,18.0,9.0,3.0,,,99.0,program,1,1,obvezni,zimski
5102,ANGLEŠKI POSLOVNI JEZIK,Inženiring poslovnih sistemov (VS)  //ver: 23,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2023-10-01T00:00:00Z,,5.0,21.0,18.0,9.0,3.0,,,99.0,program,1,1,obvezni,zimski
5102,ANGLEŠKI POSLOVNI JEZIK,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 20,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,5.0,21.0,18.0,9.0,3.0,,,99.0,program,1,1,obvezni,zimski
5102,ANGLEŠKI POSLOVNI JEZIK,Organizacija in management informacijskih sistemov (VS)  //ver: 20,diplomirani organizator informatik (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,5.0,21.0,18.0,9.0,3.0,,,99.0,program,1,1,obvezni,zimski
5102,ANGLEŠKI POSLOVNI JEZIK,Inženiring poslovnih sistemov (VS)  //ver: 20,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,5.0,21.0,18.0,9.0,3.0,,,99.0,program,1,1,obvezni,zimski
5102,ANGLEŠKI POSLOVNI JEZIK,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 23,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2023-10-01T00:00:00Z,,5.0,21.0,18.0,9.0,3.0,,,99.0,program,1,1,obvezni,zimski
5105,RAČUNALNIŠTVO IN INFORMATIKA,Organizacija in management informacijskih sistemov (VS)  //ver: 23,diplomirani organizator informatik (VS),VS,16203,0488,2023-10-01T00:00:00Z,,6.0,24.0,15.0,33.0,6.0,,,102.0,program,2,1,obvezni,zimski
5105,RAČUNALNIŠTVO IN INFORMATIKA,Inženiring poslovnih sistemov (VS)  //ver: 23,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2023-10-01T00:00:00Z,,6.0,24.0,15.0,33.0,6.0,,,102.0,program,2,1,obvezni,zimski
5105,RAČUNALNIŠTVO IN INFORMATIKA,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 20,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,6.0,24.0,15.0,33.0,6.0,,,102.0,program,2,1,obvezni,zimski
5105,RAČUNALNIŠTVO IN INFORMATIKA,Organizacija in management informacijskih sistemov (VS)  //ver: 20,diplomirani organizator informatik (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,6.0,24.0,15.0,33.0,6.0,,,102.0,program,2,1,obvezni,zimski
5105,RAČUNALNIŠTVO IN INFORMATIKA,Inženiring poslovnih sistemov (VS)  //ver: 20,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,6.0,24.0,15.0,33.0,6.0,,,102.0,program,2,1,obvezni,zimski
5105,RAČUNALNIŠTVO IN INFORMATIKA,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 23,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2023-10-01T00:00:00Z,,6.0,24.0,15.0,33.0,6.0,,,102.0,program,2,1,obvezni,zimski
5107,KADROVSKI MANAGEMENT,Organizacija in management informacijskih sistemov (VS)  //ver: 23,diplomirani organizator informatik (VS),VS,16203,0488,2023-10-01T00:00:00Z,,7.0,21.0,18.0,15.0,9.0,,,147.0,program,3,1,obvezni,poletni
5107,KADROVSKI MANAGEMENT,Inženiring poslovnih sistemov (VS)  //ver: 23,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2023-10-01T00:00:00Z,,7.0,21.0,18.0,15.0,9.0,,,147.0,program,3,1,obvezni,poletni
5107,KADROVSKI MANAGEMENT,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 20,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,7.0,21.0,18.0,15.0,9.0,,,147.0,program,3,1,obvezni,poletni
5107,KADROVSKI MANAGEMENT,Organizacija in management informacijskih sistemov (VS)  //ver: 20,diplomirani organizator informatik (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,7.0,21.0,18.0,15.0,9.0,,,147.0,program,3,1,obvezni,poletni
5107,KADROVSKI MANAGEMENT,Inženiring poslovnih sistemov (VS)  //ver: 20,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,7.0,21.0,18.0,15.0,9.0,,,147.0,program,3,1,obvezni,poletni
5107,KADROVSKI MANAGEMENT,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 23,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2023-10-01T00:00:00Z,,7.0,21.0,18.0,15.0,9.0,,,147.0,program,3,1,obvezni,poletni
5110,OSNOVE KVANTITATIVNIH METOD I,Organizacija in management informacijskih sistemov (VS)  //ver: 20,diplomirani organizator informatik (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,7.0,,,,,,,,program,4,1,obvezni,zimski
5110,OSNOVE KVANTITATIVNIH METOD I,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 20,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,7.0,,,,,,,,program,4,1,obvezni,zimski
5110,OSNOVE KVANTITATIVNIH METOD I,Inženiring poslovnih sistemov (VS)  //ver: 20,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,7.0,,,,,,,,program,4,1,obvezni,zimski
5111,OSNOVE POSLOVODENJA,Organizacija in management informacijskih sistemov (VS)  //ver: 20,diplomirani organizator informatik (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,6.0,,,,,,,,program,5,1,obvezni,zimski
5111,OSNOVE POSLOVODENJA,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 20,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,6.0,,,,,,,,program,5,1,obvezni,zimski
5111,OSNOVE POSLOVODENJA,Inženiring poslovnih sistemov (VS)  //ver: 20,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,6.0,,,,,,,,program,5,1,obvezni,zimski
5112,OSNOVE PRAVA,Organizacija in management informacijskih sistemov (VS)  //ver: 23,diplomirani organizator informatik (VS),VS,16203,0488,2023-10-01T00:00:00Z,,6.0,27.0,12.0,15.0,9.0,,,117.0,program,6,1,obvezni,zimski
5112,OSNOVE PRAVA,Inženiring poslovnih sistemov (VS)  //ver: 23,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2023-10-01T00:00:00Z,,6.0,27.0,12.0,15.0,9.0,,,117.0,program,6,1,obvezni,zimski
5112,OSNOVE PRAVA,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 20,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,6.0,27.0,12.0,15.0,9.0,,,117.0,program,6,1,obvezni,zimski
5112,OSNOVE PRAVA,Organizacija in management informacijskih sistemov (VS)  //ver: 20,diplomirani organizator informatik (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,6.0,27.0,12.0,15.0,9.0,,,117.0,program,6,1,obvezni,zimski
5112,OSNOVE PRAVA,Inženiring poslovnih sistemov (VS)  //ver: 20,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,6.0,27.0,12.0,15.0,9.0,,,117.0,program,6,1,obvezni,zimski
5112,OSNOVE PRAVA,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 23,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2023-10-01T00:00:00Z,,6.0,27.0,12.0,15.0,9.0,,,117.0,program,6,1,obvezni,zimski
5113,ORGANIZACIJA IN MANAGEMENT,Organizacija in management informacijskih sistemov (VS)  //ver: 23,diplomirani organizator informatik (VS),VS,16203,0488,2023-10-01T00:00:00Z,,8.0,30.0,45.0,,,,,165.0,program,7,1,obvezni,poletni
5113,ORGANIZACIJA IN MANAGEMENT,Inženiring poslovnih sistemov (VS)  //ver: 23,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2023-10-01T00:00:00Z,,8.0,30.0,45.0,,,,,165.0,program,7,1,obvezni,poletni
5113,ORGANIZACIJA IN MANAGEMENT,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 20,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,8.0,30.0,45.0,,,,,165.0,program,7,1,obvezni,poletni
5113,ORGANIZACIJA IN MANAGEMENT,Organizacija in management informacijskih sistemov (VS)  //ver: 20,diplomirani organizator informatik (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,8.0,30.0,45.0,,,,,165.0,program,7,1,obvezni,poletni
5113,ORGANIZACIJA IN MANAGEMENT,Inženiring poslovnih sistemov (VS)  //ver: 20,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,8.0,30.0,45.0,,,,,165.0,program,7,1,obvezni,poletni
5113,ORGANIZACIJA IN MANAGEMENT,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 23,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2023-10-01T00:00:00Z,,8.0,30.0,45.0,,,,,165.0,program,7,1,obvezni,poletni
5114,OSNOVE NARAVOSLOVJA IN TEHNOLOGIJE,Organizacija in management informacijskih sistemov (VS)  //ver: 23,diplomirani organizator informatik (VS),VS,16203,0488,2023-10-01T00:00:00Z,,8.0,33.0,6.0,21.0,3.0,,,177.0,program,8,1,obvezni,poletni
5114,OSNOVE NARAVOSLOVJA IN TEHNOLOGIJE,Inženiring poslovnih sistemov (VS)  //ver: 23,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2023-10-01T00:00:00Z,,8.0,33.0,6.0,21.0,3.0,,,177.0,program,8,1,obvezni,poletni
5114,OSNOVE NARAVOSLOVJA IN TEHNOLOGIJE,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 20,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,8.0,33.0,6.0,21.0,3.0,,,177.0,program,8,1,obvezni,poletni
5114,OSNOVE NARAVOSLOVJA IN TEHNOLOGIJE,Organizacija in management informacijskih sistemov (VS)  //ver: 20,diplomirani organizator informatik (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,8.0,33.0,6.0,21.0,3.0,,,177.0,program,8,1,obvezni,poletni
5114,OSNOVE NARAVOSLOVJA IN TEHNOLOGIJE,Inženiring poslovnih sistemov (VS)  //ver: 20,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,8.0,33.0,6.0,21.0,3.0,,,177.0,program,8,1,obvezni,poletni
5114,OSNOVE NARAVOSLOVJA IN TEHNOLOGIJE,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 23,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2023-10-01T00:00:00Z,,8.0,33.0,6.0,21.0,3.0,,,177.0,program,8,1,obvezni,poletni
5115,OSNOVE KVANTITATIVNIH METOD II,Organizacija in management informacijskih sistemov (VS)  //ver: 20,diplomirani organizator informatik (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,7.0,,,,,,,,program,9,1,obvezni,poletni
5115,OSNOVE KVANTITATIVNIH METOD II,Organizacija in management kadrovskih in izobraževalnih sistemov (VS)  //ver: 20,diplomirani organizator kadrovskih in izobraževalnih sistemov (VS),VS,16203,0413,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,7.0,,,,,,,,program,9,1,obvezni,poletni
5115,OSNOVE KVANTITATIVNIH METOD II,Inženiring poslovnih sistemov (VS)  //ver: 20,diplomirani organizator poslovnih sistemov (VS),VS,16203,0488,2020-10-01T00:00:00Z,2023-09-30T00:00:00Z,7.0,,,,,,,,program,9,1,obvezni,poletni
