profesorji,dtstamp,dtstart,dtend,trigger,location,description
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-13T14:15:00+00:00,2024-12-13T16:45:00+00:00,-1 days +23:30:00,413,P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-12T14:30:00+00:00,2024-12-12T15:00:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor magisterija: BuÄinel Nina - - Mentor: Andreja Pucihar/FOV, somentor: Miha KovaÄ-MAG-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-12T08:00:00+00:00,2024-11-12T10:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Osnove inÅ¾eniringa in programske opreme-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-15T08:00:00+00:00,2024-10-15T10:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-RaÄunalniÅ¡tvo in informatika-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2019-09-23T10:00:00+00:00,2019-09-23T10:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: HrovatiÄ Katja - - Mentor: Andreja Pucihar/FOV, somentor: -UNI-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-25T14:15:00+00:00,2024-11-25T16:45:00+00:00,-1 days +23:30:00,402,P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-08T08:00:00+00:00,2024-11-08T10:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Osnove inÅ¾eniringa in programske opreme-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2020-01-27T10:00:00+00:00,2020-01-27T10:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor magisterija: Oman Timo - - Mentor: Robert Leskovar/FOV, somentor: -MAG-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2022-09-07T11:00:00+00:00,2022-09-07T11:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: BoÅ¾nar Miha - - Mentor: Alenka Baggia/FOV, somentor: Marko Urh/FOV-VS-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2020-05-13T11:00:00+00:00,2020-05-13T11:30:00+00:00,-1 days +23:30:00,Nerazporejeno,"Zagovor diplome: ErÅ¾en Gorazd - - Mentor: Alenka Baggia/FOV, somentor: Marjan SenegaÄnik/FOV-VS-Redni"
