skupina,dtstamp,dtstart,dtend,trigger,location,description
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:31+00:00,2024-10-08T10:45:00+00:00,2024-10-08T13:15:00+00:00,-1 days +23:30:00,306,V-Osnove matematike v organizacijskih vedah-2. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:37+00:00,2025-05-05T08:00:00+00:00,2025-05-05T10:30:00+00:00,-1 days +23:30:00,401,V-Kadrovski management-1. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:37+00:00,2025-05-16T14:15:00+00:00,2025-05-16T16:45:00+00:00,-1 days +23:30:00,401,V-RaÄunalniÅ¡tvo in informatika-4.a skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:34+00:00,2025-03-13T14:15:00+00:00,2025-03-13T16:45:00+00:00,-1 days +23:30:00,111,V-Osnove poslovodenja in raÄunovodstva-1. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:35+00:00,2025-04-03T08:00:00+00:00,2025-04-03T10:30:00+00:00,-1 days +23:30:00,401,V-RaÄunalniÅ¡tvo in informatika-1.a skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:34+00:00,2025-01-17T08:00:00+00:00,2025-01-17T10:30:00+00:00,-1 days +23:30:00,111,P-AngleÅ¡ki poslovni jezik-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:32+00:00,2024-10-28T10:45:00+00:00,2024-10-28T13:15:00+00:00,-1 days +23:30:00,111,P-Osnove matematike v organizacijskih vedah-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:36+00:00,2025-04-16T14:15:00+00:00,2025-04-16T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-V-RaÄunalniÅ¡tvo in informatika-2.b skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:36+00:00,2025-04-04T10:45:00+00:00,2025-04-04T13:15:00+00:00,-1 days +23:30:00,306,V-Osnove statistike-1. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:33+00:00,2024-12-06T08:00:00+00:00,2024-12-06T10:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-AngleÅ¡ki poslovni jezik-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:38+00:00,2025-05-29T08:00:00+00:00,2025-05-29T10:30:00+00:00,-1 days +23:30:00,111,V-Kadrovski management-2. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:37+00:00,2025-04-25T17:00:00+00:00,2025-04-25T19:30:00+00:00,-1 days +23:30:00,413,V-RaÄunalniÅ¡tvo in informatika-3.b skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:34+00:00,2025-03-07T10:45:00+00:00,2025-03-07T13:15:00+00:00,-1 days +23:30:00,111,P-Osnove statistike-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:38+00:00,2025-05-19T14:15:00+00:00,2025-05-19T16:45:00+00:00,-1 days +23:30:00,401,V-RaÄunalniÅ¡tvo in informatika-4.a skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:36+00:00,2025-04-11T17:00:00+00:00,2025-04-11T19:30:00+00:00,-1 days +23:30:00,413,V-RaÄunalniÅ¡tvo in informatika-3.b skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:33+00:00,2024-12-09T17:00:00+00:00,2024-12-09T19:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Organizacija in management-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:37+00:00,2025-04-18T17:00:00+00:00,2025-04-18T19:30:00+00:00,-1 days +23:30:00,413,V-RaÄunalniÅ¡tvo in informatika-3.b skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:32+00:00,2024-10-25T08:00:00+00:00,2024-10-25T10:30:00+00:00,-1 days +23:30:00,111,V-Osnove prava-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:32+00:00,2024-11-06T14:15:00+00:00,2024-11-06T16:45:00+00:00,-1 days +23:30:00,306,V-Osnove matematike v organizacijskih vedah-2. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:35+00:00,2025-03-26T14:15:00+00:00,2025-03-26T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-V-Osnove poslovodenja in raÄunovodstva-3. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:32+00:00,2024-10-28T08:00:00+00:00,2024-10-28T10:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-V-Osnove naravoslovja in tehnologije-2. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:35+00:00,2025-03-26T08:00:00+00:00,2025-03-26T10:30:00+00:00,-1 days +23:30:00,401,V-RaÄunalniÅ¡tvo in informatika-1.a skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:36+00:00,2025-04-15T14:15:00+00:00,2025-04-15T16:45:00+00:00,-1 days +23:30:00,306,V-Osnove statistike-1. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/01---1-letnik-VS-Informacijski-sistemi-Redni,2024-12-12T11:46:35+00:00,2025-03-27T17:00:00+00:00,2025-03-27T19:30:00+00:00,-1 days +23:30:00,111,V-Osnove poslovodenja in raÄunovodstva-2. skupina-VS-Redni
