id,naziv,urnik_url,insert,narekovaj
1001,Red_24/25_VS_****_1,,,'
1002,Red_24/25_VS_INFS_1,01---1-letnik-VS-Informacijski-sistemi-Redni,"insert into AR_SKUPINA (id,naziv,urnik_url) values (1002,'Red_24/25_VS_INFS_1','01---1-letnik-VS-Informacijski-sistemi-Redni')",'
1003,Red_24/25_VS_IPOS_1,,,'
1004,Red_24/25_VS_KAIS_1,,,'
1005,Red_24/25_VS_****_1_skupina_15A_1,,,'
1006,Red_24/25_VS_****_1_skupina_15A_2,,,'
1007,Red_24/25_VS_****_1_skupina_15A_3,,,'
1008,Red_24/25_VS_****_1_skupina_15A_4,,,'
1009,Red_24/25_VS_****_1_skupina_15A_5,,,'
1010,Red_24/25_VS_****_1_skupina_15A_6,,,'
1011,Red_24/25_VS_****_1_skupina_15A_7,,,'
1012,Red_24/25_VS_****_1_skupina_15A_8,,,'
1013,Red_24/25_VS_****_1_skupina_30B_1,,,'
1014,Red_24/25_VS_****_1_skupina_30B_2,,,'
1015,Red_24/25_VS_****_1_skupina_30B_3,,,'
1016,Red_24/25_VS_****_1_skupina_30B_4,,,'
1017,Red_24/25_VS_****_2,,,'
1018,Red_24/25_VS_INFS_2,,,'
1019,Red_24/25_VS_IPOS_2,,,'
1020,Red_24/25_VS_KAIS_2,,,'
1021,Red_24/25_VS_****_2_skupina_30A_1,,,'
1022,Red_24/25_VS_****_2_skupina_30A_2,,,'
1023,Red_24/25_VS_****_2_skupina_30A_3,,,'
1024,Red_24/25_VS_****_2_skupina_30A_4,,,'
1025,Red_24/25_VS_INFS_2_skupina_15A_1,,,'
1026,Red_24/25_VS_INFS_2_skupina_15A_2,,,'
1027,Red_24/25_VS_INFS_2_skupina_15A_3,,,'
1028,Red_24/25_VS_INFS_2_skupina_15A_4,,,'
1029,Red_24/25_VS_IPOS+KAIS_2,,,'
1030,Red_24/25_VS_IPOS+KAIS_2_skupina_1,,,'
1031,Red_24/25_VS_IPOS+KAIS_2_skupina_2,,,'
1032,Red_24/25_VS_IPOS+INFS_2,,,'
1033,Red_24/25_VS_IPOS+INFS_2_skupina_1,,,'
1034,Red_24/25_VS_IPOS+INFS_2_skupina_2,,,'
1035,Red_24/25_VS_IPOS+INFS_2_skupina_3,,,'
1036,Red_24/25_VS_****_3,,,'
1037,Red_24/25_VS_****_3_skupina_1,,,'
1038,Red_24/25_VS_****_3_skupina_2,,,'
1039,Red_24/25_VS_INFS_3,,,'
1040,Red_24/25_VS_IPOS_3,,,'
1041,Red_24/25_VS_KAIS_3,,,'
1042,Red_24/25_VS_INFS_3_skupina_1,,,'
1043,Red_24/25_VS_INFS_3_skupina_2,,,'
1044,Red_24/25_VS_INFS+IPOS_3,,,'
1045,Red_24/25_VS_INFS+IPOS_3_skupina_1,,,'
1046,Red_24/25_VS_INFS+IPOS_3_skupina_2,,,'
1047,Red_24/25_VS_INFS+KAIS_3,,,'
1048,Red_24/25_VS_INFS+KAIS_3_skupina_1,,,'
1049,Red_24/25_VS_INFS+KAIS_3_skupina_2,,,'
1050,Red_24/25_UN_****_1,,,'
1051,Red_24/25_UN_INFS_1,,,'
1052,Red_24/25_UN_IPOS_1,,,'
1053,Red_24/25_UN_KAIS_1,,,'
1054,Red_24/25_UN_****_1_skupina_15A_1,,,'
1055,Red_24/25_UN_****_1_skupina_15A_2,,,'
1056,Red_24/25_UN_****_1_skupina_15A_3,,,'
1057,Red_24/25_UN_****_1_skupina_15A_4,,,'
1058,Red_24/25_UN_****_1_skupina_30B_1,,,'
1059,Red_24/25_UN_****_1_skupina_30B_2,,,'
1060,Red_24/25_UN_IPOS+KAIS_1,,,'
1061,Red_24/25_UN_****_2,,,'
1062,Red_24/25_UN_****_2_skupina_1,,,'
1063,Red_24/25_UN_****_2_skupina_2,,,'
