skupina,profesorji,dtstart,location,description,dtstamp,trigger
https://urnik.fov.um.si/Program/calendars/27---2-letnik-UNI-Kadrovsko-izobrazevalni-sistemi-Redni,https://urnik.fov.um.si/Izvajalec/calendars/05---Mojca-Bernik,2025-01-06T08:00:00+00:00,005,P-Kadrovske kompetence-UNI-Redni,2024-12-12T11:45:35+00:00,-1 days +23:30:00
https://urnik.fov.um.si/Program/calendars/27---2-letnik-UNI-Kadrovsko-izobrazevalni-sistemi-Redni,https://urnik.fov.um.si/Izvajalec/calendars/05---Mojca-Bernik,2025-01-09T08:00:00+00:00,005,P-Kadrovske kompetence-UNI-Redni,2024-12-12T11:45:35+00:00,-1 days +23:30:00
https://urnik.fov.um.si/Program/calendars/27---2-letnik-UNI-Kadrovsko-izobrazevalni-sistemi-Redni,https://urnik.fov.um.si/Izvajalec/calendars/05---Mojca-Bernik,2025-01-13T08:00:00+00:00,005,P-Kadrovske kompetence-UNI-Redni,2024-12-12T11:45:35+00:00,-1 days +23:30:00
https://urnik.fov.um.si/Program/calendars/27---2-letnik-UNI-Kadrovsko-izobrazevalni-sistemi-Redni,https://urnik.fov.um.si/Izvajalec/calendars/05---Mojca-Bernik,2025-01-14T08:00:00+00:00,005,V-Kadrovske kompetence-UNI-Redni,2024-12-12T11:45:35+00:00,-1 days +23:30:00
https://urnik.fov.um.si/Program/calendars/27---2-letnik-UNI-Kadrovsko-izobrazevalni-sistemi-Redni,https://urnik.fov.um.si/Izvajalec/calendars/05---Mojca-Bernik,2025-01-16T08:00:00+00:00,005,V-Kadrovske kompetence-UNI-Redni,2024-12-12T11:45:35+00:00,-1 days +23:30:00
https://urnik.fov.um.si/Program/calendars/27---2-letnik-UNI-Kadrovsko-izobrazevalni-sistemi-Redni,https://urnik.fov.um.si/Izvajalec/calendars/10---Teodora-Ivanusa,2024-11-05T10:45:00+00:00,005,P-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni,2024-12-12T11:45:47+00:00,-1 days +23:30:00
https://urnik.fov.um.si/Program/calendars/27---2-letnik-UNI-Kadrovsko-izobrazevalni-sistemi-Redni,https://urnik.fov.um.si/Izvajalec/calendars/10---Teodora-Ivanusa,2024-11-07T10:45:00+00:00,005,P-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni,2024-12-12T11:45:47+00:00,-1 days +23:30:00
https://urnik.fov.um.si/Program/calendars/27---2-letnik-UNI-Kadrovsko-izobrazevalni-sistemi-Redni,https://urnik.fov.um.si/Izvajalec/calendars/10---Teodora-Ivanusa,2024-11-11T10:45:00+00:00,005,P-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni,2024-12-12T11:45:47+00:00,-1 days +23:30:00
https://urnik.fov.um.si/Program/calendars/27---2-letnik-UNI-Kadrovsko-izobrazevalni-sistemi-Redni,https://urnik.fov.um.si/Izvajalec/calendars/10---Teodora-Ivanusa,2024-11-13T10:45:00+00:00,005,P-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni,2024-12-12T11:45:47+00:00,-1 days +23:30:00
https://urnik.fov.um.si/Program/calendars/27---2-letnik-UNI-Kadrovsko-izobrazevalni-sistemi-Redni,https://urnik.fov.um.si/Izvajalec/calendars/10---Teodora-Ivanusa,2024-11-15T10:45:00+00:00,005,P-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni,2024-12-12T11:45:47+00:00,-1 days +23:30:00
