lokacije,dtstamp,dtstart,dtend,trigger,location,description
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2024-12-09T08:00:00+00:00,2024-12-09T10:30:00+00:00,-1 days +23:30:00,005,P-InÅ¾eniring poslovnih procesov in digitalna transformacija-MAG-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2025-01-14T08:00:00+00:00,2025-01-14T10:30:00+00:00,-1 days +23:30:00,005,V-Kadrovske kompetence-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2024-12-04T14:15:00+00:00,2024-12-04T16:45:00+00:00,-1 days +23:30:00,005,P-Kadri in upravljanje kritiÄne infrastrukture-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2024-12-06T14:15:00+00:00,2024-12-06T16:45:00+00:00,-1 days +23:30:00,005,P-Kadri in upravljanje kritiÄne infrastrukture-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:53+00:00,2024-11-21T10:45:00+00:00,2024-11-21T13:15:00+00:00,-1 days +23:30:00,005,P-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2024-12-10T14:15:00+00:00,2024-12-10T16:45:00+00:00,-1 days +23:30:00,005,P-Kadri in upravljanje kritiÄne infrastrukture-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2024-12-12T14:15:00+00:00,2024-12-12T16:45:00+00:00,-1 days +23:30:00,005,P-Kadri in upravljanje kritiÄne infrastrukture-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:53+00:00,2024-10-17T08:00:00+00:00,2024-10-17T12:05:00+00:00,-1 days +23:30:00,005,P-Management v zdr. in soc. organizacijah-MAG-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:53+00:00,2024-11-28T10:45:00+00:00,2024-11-28T13:15:00+00:00,-1 days +23:30:00,005,V-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2024-12-18T14:15:00+00:00,2024-12-18T16:45:00+00:00,-1 days +23:30:00,005,P-Kadri in upravljanje kritiÄne infrastrukture-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2025-01-08T10:45:00+00:00,2025-01-08T13:15:00+00:00,-1 days +23:30:00,005,V-Kadri in upravljanje kritiÄne infrastrukture-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2024-12-03T08:00:00+00:00,2024-12-03T10:30:00+00:00,-1 days +23:30:00,005,V-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2024-12-02T14:15:00+00:00,2024-12-02T16:45:00+00:00,-1 days +23:30:00,005,P-Kadri in upravljanje kritiÄne infrastrukture-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2025-01-10T10:45:00+00:00,2025-01-10T13:15:00+00:00,-1 days +23:30:00,005,V-Kadri in upravljanje kritiÄne infrastrukture-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:53+00:00,2024-11-11T10:45:00+00:00,2024-11-11T13:15:00+00:00,-1 days +23:30:00,005,P-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2025-01-16T10:45:00+00:00,2025-01-16T13:15:00+00:00,-1 days +23:30:00,005,V-Kadri in upravljanje kritiÄne infrastrukture-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:53+00:00,2024-11-19T10:45:00+00:00,2024-11-19T13:15:00+00:00,-1 days +23:30:00,005,P-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:53+00:00,2024-10-10T10:45:00+00:00,2024-10-10T13:15:00+00:00,-1 days +23:30:00,005,Konzultacije-Osnove matematike v organizacijskih vedah - Pred.(tuji Å¡tudenti)-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2025-01-06T08:00:00+00:00,2025-01-06T10:30:00+00:00,-1 days +23:30:00,005,P-Kadrovske kompetence-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:53+00:00,2024-10-03T10:45:00+00:00,2024-10-03T13:15:00+00:00,-1 days +23:30:00,005,P-Oblikovanje in vodenje timov-MAG-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2025-01-16T08:00:00+00:00,2025-01-16T09:45:00+00:00,-1 days +23:30:00,005,V-Kadrovske kompetence-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2024-12-02T08:00:00+00:00,2024-12-02T10:30:00+00:00,-1 days +23:30:00,005,P-Management kakovosti-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:53+00:00,2024-11-05T10:45:00+00:00,2024-11-05T13:15:00+00:00,-1 days +23:30:00,005,P-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2024-12-09T17:00:00+00:00,2024-12-09T19:30:00+00:00,-1 days +23:30:00,005,P-Tveganje in krizni management-VS-Izredni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:53+00:00,2024-11-26T10:45:00+00:00,2024-11-26T13:15:00+00:00,-1 days +23:30:00,005,V-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2024-12-18T08:00:00+00:00,2024-12-18T11:15:00+00:00,-1 days +23:30:00,005,P-Kakovost v zdr. in soc. organizacijah-MAG-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2025-01-13T08:00:00+00:00,2025-01-13T08:45:00+00:00,-1 days +23:30:00,005,P-Kadrovske kompetence-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:53+00:00,2024-11-13T10:45:00+00:00,2024-11-13T13:15:00+00:00,-1 days +23:30:00,005,P-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2024-12-19T17:00:00+00:00,2024-12-19T20:15:00+00:00,-1 days +23:30:00,005,V-Tveganje in krizni management-VS-Izredni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2025-01-14T10:45:00+00:00,2025-01-14T13:15:00+00:00,-1 days +23:30:00,005,V-Kadri in upravljanje kritiÄne infrastrukture-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:53+00:00,2024-11-15T10:45:00+00:00,2024-11-15T13:15:00+00:00,-1 days +23:30:00,005,P-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2025-01-09T08:00:00+00:00,2025-01-09T10:30:00+00:00,-1 days +23:30:00,005,P-Kadrovske kompetence-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:53+00:00,2024-11-07T10:45:00+00:00,2024-11-07T13:15:00+00:00,-1 days +23:30:00,005,P-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2024-12-16T14:15:00+00:00,2024-12-16T16:45:00+00:00,-1 days +23:30:00,005,P-Kadri in upravljanje kritiÄne infrastrukture-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2025-01-06T10:45:00+00:00,2025-01-06T13:15:00+00:00,-1 days +23:30:00,005,V-Kadri in upravljanje kritiÄne infrastrukture-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:54+00:00,2024-11-29T10:45:00+00:00,2024-11-29T13:15:00+00:00,-1 days +23:30:00,005,V-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:53+00:00,2024-11-04T10:45:00+00:00,2024-11-04T13:15:00+00:00,-1 days +23:30:00,005,P-Razvoj kadrov-MAG-Redni
https://urnik.fov.um.si/Ucilnica/calendars/005,2024-12-12T11:47:53+00:00,2024-11-22T10:45:00+00:00,2024-11-22T13:15:00+00:00,-1 days +23:30:00,005,V-Obvladovanje kritiÄne infrastrukture in kadri-UNI-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:55+00:00,2024-10-21T08:00:00+00:00,2024-10-21T10:30:00+00:00,-1 days +23:30:00,111,V-Osnove naravoslovja in tehnologije-2. skupina-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:54+00:00,2024-10-07T17:00:00+00:00,2024-10-07T19:30:00+00:00,-1 days +23:30:00,111,Konzultacije-Osnove naravoslovja in tehnologije - Pred.(tuji Å¡tudenti)-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:56+00:00,2025-03-13T14:15:00+00:00,2025-03-13T16:45:00+00:00,-1 days +23:30:00,111,V-Osnove poslovodenja in raÄunovodstva-1. skupina-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:55+00:00,2024-12-16T10:45:00+00:00,2024-12-16T13:15:00+00:00,-1 days +23:30:00,111,P-Organizacija in management-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:56+00:00,2025-01-17T08:00:00+00:00,2025-01-17T10:30:00+00:00,-1 days +23:30:00,111,P-AngleÅ¡ki poslovni jezik-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:54+00:00,2024-10-11T08:00:00+00:00,2024-10-11T10:30:00+00:00,-1 days +23:30:00,111,P-Osnove naravoslovja in tehnologije-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:54+00:00,2024-10-03T10:45:00+00:00,2024-10-03T13:15:00+00:00,-1 days +23:30:00,111,P-Osnove matematike v organizacijskih vedah-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:54+00:00,2024-10-07T14:15:00+00:00,2024-10-07T16:45:00+00:00,-1 days +23:30:00,111,P-Osnove prava-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:55+00:00,2024-10-28T10:45:00+00:00,2024-10-28T13:15:00+00:00,-1 days +23:30:00,111,P-Osnove matematike v organizacijskih vedah-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:54+00:00,2024-10-02T08:00:00+00:00,2024-10-02T10:30:00+00:00,-1 days +23:30:00,111,P-Osnove naravoslovja in tehnologije-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:56+00:00,2025-02-24T08:00:00+00:00,2025-02-24T10:30:00+00:00,-1 days +23:30:00,111,P-RaÄunalniÅ¡tvo in informatika-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:57+00:00,2025-05-29T08:00:00+00:00,2025-05-29T10:30:00+00:00,-1 days +23:30:00,111,V-Kadrovski management-2. skupina-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:56+00:00,2025-01-13T10:45:00+00:00,2025-01-13T13:15:00+00:00,-1 days +23:30:00,111,P-Organizacija in management-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:56+00:00,2025-03-31T14:15:00+00:00,2025-03-31T16:45:00+00:00,-1 days +23:30:00,111,V-Osnove poslovodenja in raÄunovodstva-1. skupina-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:55+00:00,2024-11-06T08:00:00+00:00,2024-11-06T10:30:00+00:00,-1 days +23:30:00,111,V-Osnove naravoslovja in tehnologije-3. skupina-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:55+00:00,2024-10-30T08:00:00+00:00,2024-10-30T10:30:00+00:00,-1 days +23:30:00,111,V-Osnove naravoslovja in tehnologije-3. skupina-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:54+00:00,2024-10-04T14:15:00+00:00,2024-10-04T16:45:00+00:00,-1 days +23:30:00,111,P-Osnove poslovnih informacijskih sistemov-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:56+00:00,2025-03-07T10:45:00+00:00,2025-03-07T13:15:00+00:00,-1 days +23:30:00,111,P-Osnove statistike-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:56+00:00,2025-03-18T10:45:00+00:00,2025-03-18T13:15:00+00:00,-1 days +23:30:00,111,P-Osnove statistike-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:56+00:00,2025-02-24T10:45:00+00:00,2025-02-24T13:15:00+00:00,-1 days +23:30:00,111,P-Osnove poslovodenja in raÄunovodstva-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:55+00:00,2024-11-19T14:15:00+00:00,2024-11-19T16:45:00+00:00,-1 days +23:30:00,111,V-Osnove naravoslovja in tehnologije-1. skupina-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:55+00:00,2024-10-11T14:15:00+00:00,2024-10-11T16:45:00+00:00,-1 days +23:30:00,111,P-Osnove poslovnih informacijskih sistemov-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:55+00:00,2024-10-17T10:45:00+00:00,2024-10-17T13:15:00+00:00,-1 days +23:30:00,111,P-Osnove matematike v organizacijskih vedah-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:55+00:00,2024-10-11T10:45:00+00:00,2024-10-11T13:15:00+00:00,-1 days +23:30:00,111,P-Osnove matematike v organizacijskih vedah-VS-Redni
https://urnik.fov.um.si/Ucilnica/calendars/111,2024-12-12T11:47:55+00:00,2024-10-16T14:15:00+00:00,2024-10-16T16:45:00+00:00,-1 days +23:30:00,111,P-Osnove prava-VS-Redni
