start,stop,description,location,name_surname,activity,course_desc,location_id,prof_id,group_id,course_id,comment,URL
2024-12-13T14:15:00+00:00,2024-12-13T16:45:00+00:00,P-Spletno programiranje-UNI-Redni,413,Alenka Baggia,P,Spletno programiranje,,,,,,
2024-11-12T08:00:00+00:00,2024-11-12T10:30:00+00:00,e-P-Osnove inženiringa in programske opreme-VS-Redni,E-učilnica,Alenka Baggia,e-P,Osnove inženiringa in programske opreme,,,,,,
2024-10-15T08:00:00+00:00,2024-10-15T10:30:00+00:00,e-P-Računalništvo in informatika-UNI-Redni,E-učilnica,Alenka Baggia,e-P,Računalništvo in informatika,,,,,,
2019-09-23T10:00:00+00:00,2019-09-23T10:30:00+00:00,"Zagovor diplome: Hrovatič Katja - - Mentor: Andreja Pucihar/FOV, somentor: -UNI-Redni",707 Diplomska soba,Alenka Baggia,Zagovor,Zagovor,,,,,,
2024-11-25T14:15:00+00:00,2024-11-25T16:45:00+00:00,P-Spletno programiranje-UNI-Redni,402,Alenka Baggia,P,Spletno programiranje,,,,,,
2024-11-08T08:00:00+00:00,2024-11-08T10:30:00+00:00,e-P-Osnove inženiringa in programske opreme-VS-Redni,E-učilnica,Alenka Baggia,e-P,Osnove inženiringa in programske opreme,,,,,,
2020-01-27T10:00:00+00:00,2020-01-27T10:30:00+00:00,"Zagovor magisterija: Oman Timo - - Mentor: Robert Leskovar/FOV, somentor: -MAG-Redni",707 Diplomska soba,Alenka Baggia,Zagovor,Zagovor,,,,,,
2022-09-07T11:00:00+00:00,2022-09-07T11:30:00+00:00,"Zagovor diplome: Božnar Miha - - Mentor: Alenka Baggia/FOV, somentor: Marko Urh/FOV-VS-Redni",707 Diplomska soba,Alenka Baggia,Zagovor,Zagovor,,,,,,
2020-05-13T11:00:00+00:00,2020-05-13T11:30:00+00:00,"Zagovor diplome: Eržen Gorazd - - Mentor: Alenka Baggia/FOV, somentor: Marjan Senegačnik/FOV-VS-Redni",Nerazporejeno,Alenka Baggia,Zagovor,Zagovor,,,,,,
2024-10-02T08:00:00+00:00,2024-10-02T10:30:00+00:00,P-Računalništvo in informatika-UNI-Redni,301,Alenka Baggia,P,Računalništvo in informatika,,,,,,
